YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_DEL15
2023,APR,3,Monday,Southwest Airlines,TUL,DAL,0
2023,MAY,21,Sunday,Delta Air Lines,CLT,MSP,0
2022,AUG,14,Sunday,United Air Lines,EWR,TPA,0
2022,OCT,19,Wednesday,Southwest Airlines,SMF,LAX,0
2023,APR,18,Tuesday,PSA Airlines,TYS,CLT,0
2023,JUL,22,Saturday,Allegiant Air,PIE,HTS,0
2022,OCT,27,Thursday,Spirit Air Lines,LAX,DFW,0
2023,JUL,3,Monday,PSA Airlines,SAV,CLT,0
2023,AUG,2,Wednesday,American Airlines,CLT,TPA,0
2023,JUL,22,Saturday,SkyWest Airlines,LIT,ORD,0
2023,JUN,30,Friday,Delta Air Lines,DEN,ATL,0
2023,AUG,15,Tuesday,Republic Airline,BOS,DCA,0
2022,NOV,15,Tuesday,JetBlue Airways,FLL,LGA,0
2022,SEP,30,Friday,Delta Air Lines,PHX,ATL,0
2023,JUN,19,Monday,Envoy Air,TLH,MIA,0
2023,FEB,18,Saturday,Endeavor Air,ORF,JFK,0
2022,NOV,25,Friday,Envoy Air,DFW,GCK,0
2023,JUL,22,Saturday,Envoy Air,OKC,DFW,0
2023,APR,19,Wednesday,Southwest Airlines,ATL,AUS,1
2023,FEB,5,Sunday,SkyWest Airlines,CYS,DEN,0
2022,SEP,9,Friday,American Airlines,ANC,DFW,0
2023,JUL,19,Wednesday,United Air Lines,BWI,IAH,0
2023,MAR,15,Wednesday,American Airlines,ORD,DEN,1
2023,MAY,10,Wednesday,Alaska Airlines,PDX,LAX,0
2023,MAR,19,Sunday,Southwest Airlines,SAN,MSY,0
2023,JUN,20,Tuesday,American Airlines,PHX,SMF,1
2022,OCT,21,Friday,Republic Airline,RIC,LGA,0
2022,SEP,8,Thursday,Delta Air Lines,MIA,LGA,1
2023,FEB,23,Thursday,Spirit Air Lines,ACY,TPA,0
2023,APR,2,Sunday,American Airlines,CLT,ILM,0
2023,FEB,22,Wednesday,Southwest Airlines,HOU,DAL,0
2023,JAN,27,Friday,Spirit Air Lines,BWI,DTW,1
2022,SEP,4,Sunday,Hawaiian Airlines,HNL,KOA,0
2023,JAN,15,Sunday,American Airlines,TUS,ORD,0
2022,SEP,25,Sunday,Delta Air Lines,DEN,ATL,0
2023,FEB,19,Sunday,American Airlines,BOS,AUS,0
2022,NOV,29,Tuesday,American Airlines,PHL,BOS,0
2023,MAR,7,Tuesday,SkyWest Airlines,LIT,DFW,0
2022,DEC,21,Wednesday,Southwest Airlines,BNA,DEN,1
2022,DEC,2,Friday,United Air Lines,ALB,ORD,0
2022,NOV,25,Friday,American Airlines,PHX,MKE,0
2023,APR,21,Friday,United Air Lines,MSY,IAH,1
2023,APR,19,Wednesday,United Air Lines,ORD,MSP,0
2022,AUG,25,Thursday,American Airlines,SAT,PHX,0
2023,MAR,22,Wednesday,Southwest Airlines,LAS,SFO,1
2023,JUN,21,Wednesday,Southwest Airlines,MDW,BWI,0
2023,JAN,21,Saturday,Spirit Air Lines,LAS,IAH,0
2022,DEC,9,Friday,American Airlines,BUF,CLT,1
2022,DEC,24,Saturday,American Airlines,CLT,TPA,1
2022,SEP,21,Wednesday,Frontier Airlines,PHX,SLC,0
2023,APR,1,Saturday,United Air Lines,SEA,EWR,0
2022,NOV,16,Wednesday,American Airlines,MIA,CLT,0
2023,AUG,21,Monday,Alaska Airlines,SEA,BOS,0
2022,SEP,19,Monday,Allegiant Air,SFB,ROA,0
2022,AUG,29,Monday,Horizon Air,PSC,SEA,0
2022,AUG,9,Tuesday,Endeavor Air,JFK,RIC,0
2023,MAR,20,Monday,Southwest Airlines,HOU,DEN,0
2022,AUG,12,Friday,American Airlines,MIA,LGA,0
2023,MAY,16,Tuesday,Southwest Airlines,DCA,MCO,0
2023,FEB,16,Thursday,American Airlines,DFW,BNA,0
2023,JUN,15,Thursday,Southwest Airlines,CLE,BWI,1
2023,JAN,2,Monday,United Air Lines,SFO,EWR,0
2022,AUG,14,Sunday,Southwest Airlines,SJC,PDX,1
2023,MAR,16,Thursday,Delta Air Lines,ATL,TPA,0
2022,NOV,7,Monday,American Airlines,DFW,RIC,1
2023,MAR,27,Monday,Delta Air Lines,SMF,ATL,0
2023,MAR,18,Saturday,United Air Lines,IAH,MFE,0
2023,JUL,9,Sunday,Southwest Airlines,LAS,SNA,0
2023,MAY,12,Friday,SkyWest Airlines,MKE,JFK,0
2023,JUL,12,Wednesday,American Airlines,DFW,ELP,0
2023,FEB,3,Friday,Southwest Airlines,MSP,PHX,0
2023,MAR,29,Wednesday,United Air Lines,DEN,JAC,0
2022,NOV,14,Monday,Republic Airline,DCA,BTV,0
2023,APR,3,Monday,JetBlue Airways,JFK,LAX,0
2022,DEC,23,Friday,JetBlue Airways,MCO,DCA,0
2023,MAY,13,Saturday,Envoy Air,MIA,BHM,0
2022,DEC,23,Friday,SkyWest Airlines,SJC,SEA,1
2022,DEC,28,Wednesday,Southwest Airlines,BWI,RSW,0
2023,JUN,25,Sunday,Republic Airline,HPN,BOS,1
2023,JUL,24,Monday,Delta Air Lines,ATL,DTW,1
2023,MAR,24,Friday,United Air Lines,ORD,MDT,0
2023,APR,13,Thursday,American Airlines,SNA,DFW,0
2022,OCT,11,Tuesday,United Air Lines,SAN,ORD,0
2022,NOV,11,Friday,Southwest Airlines,ONT,DEN,0
2023,JAN,5,Thursday,PSA Airlines,CLT,DAY,0
2023,APR,23,Sunday,Delta Air Lines,LAX,DTW,0
2023,FEB,12,Sunday,American Airlines,RSW,DFW,0
2022,SEP,11,Sunday,United Air Lines,IAH,EWR,0
2023,APR,28,Friday,Southwest Airlines,STL,LGA,0
2023,JUL,8,Saturday,Republic Airline,JFK,RDU,0
2022,SEP,30,Friday,Delta Air Lines,ATL,ORF,0
2023,MAY,13,Saturday,American Airlines,OMA,DFW,0
2023,MAY,21,Sunday,American Airlines,STL,ORD,1
2022,AUG,22,Monday,American Airlines,CLT,ROC,1
2022,AUG,5,Friday,Southwest Airlines,SJC,LAX,0
2023,APR,2,Sunday,Southwest Airlines,OAK,LAS,0
2023,JAN,27,Friday,Southwest Airlines,LAS,DEN,0
2023,MAY,19,Friday,Hawaiian Airlines,HNL,OGG,0
2022,OCT,6,Thursday,JetBlue Airways,JAX,BOS,0
2023,FEB,25,Saturday,Republic Airline,LGA,STL,0
2023,MAY,23,Tuesday,Delta Air Lines,DCA,DTW,0
2023,JAN,29,Sunday,United Air Lines,DEN,ATL,1
2023,JUN,2,Friday,United Air Lines,EWR,ORD,1
2022,AUG,27,Saturday,SkyWest Airlines,ORD,LIT,0
2023,JUN,25,Sunday,Southwest Airlines,LAX,PHX,1
2023,MAY,24,Wednesday,Spirit Air Lines,MIA,PHL,1
2023,AUG,23,Wednesday,American Airlines,ORD,LAX,0
2023,JUL,24,Monday,Alaska Airlines,SEA,MCI,1
2023,FEB,7,Tuesday,American Airlines,SNA,ORD,0
2023,JUN,7,Wednesday,Southwest Airlines,MCO,OMA,1
2022,AUG,20,Saturday,SkyWest Airlines,ORD,BUF,0
2023,APR,19,Wednesday,Republic Airline,LGA,IND,0
2023,JUN,27,Tuesday,PSA Airlines,DFW,TLH,0
2023,AUG,4,Friday,Southwest Airlines,BNA,JAX,0
2023,FEB,5,Sunday,United Air Lines,SAT,IAD,0
2023,APR,27,Thursday,Hawaiian Airlines,OAK,HNL,0
2022,AUG,12,Friday,Southwest Airlines,SRQ,HOU,0
2023,JUN,15,Thursday,Endeavor Air,AEX,ATL,1
2023,JUN,9,Friday,Endeavor Air,LGA,GSO,0
2022,SEP,10,Saturday,SkyWest Airlines,STL,ORD,0
2023,MAR,13,Monday,Delta Air Lines,ATL,PBI,1
2023,MAR,17,Friday,SkyWest Airlines,HYS,DEN,1
2023,JUN,29,Thursday,Republic Airline,CVG,JFK,0
2023,JUN,20,Tuesday,Spirit Air Lines,DEN,LAS,0
2022,AUG,5,Friday,Southwest Airlines,EUG,LAS,1
2022,NOV,17,Thursday,American Airlines,MCO,LAX,0
2023,FEB,13,Monday,Envoy Air,ORD,BZN,0
2023,APR,1,Saturday,American Airlines,MIA,SJU,0
2023,MAY,5,Friday,SkyWest Airlines,LAX,SFO,0
2023,JAN,2,Monday,Frontier Airlines,PHX,PHL,1
2022,DEC,13,Tuesday,American Airlines,DFW,AUS,1
2023,JUN,14,Wednesday,Delta Air Lines,RDU,DTW,1
2022,SEP,22,Thursday,Spirit Air Lines,BDL,MYR,0
2022,SEP,21,Wednesday,United Air Lines,BOS,IAD,0
2023,JUN,2,Friday,United Air Lines,DEN,JAX,1
2023,AUG,29,Tuesday,Southwest Airlines,FLL,MCO,1
2022,DEC,11,Sunday,American Airlines,CLT,CHS,0
2023,JUN,15,Thursday,Delta Air Lines,DTW,TPA,0
2022,AUG,18,Thursday,United Air Lines,SFO,JAC,0
2022,OCT,14,Friday,Spirit Air Lines,SNA,OAK,1
2023,JUL,28,Friday,Frontier Airlines,MCO,DEN,0
2023,MAR,14,Tuesday,Envoy Air,TRI,DFW,0
2023,JUL,10,Monday,Endeavor Air,ATL,BQK,0
2022,DEC,17,Saturday,Envoy Air,DFW,VPS,1
2022,AUG,5,Friday,Republic Airline,LGA,MSP,0
2022,OCT,20,Thursday,Southwest Airlines,LGA,BNA,1
2023,JAN,19,Thursday,United Air Lines,IAH,LAX,0
2022,NOV,8,Tuesday,Southwest Airlines,SNA,DEN,0
2022,SEP,7,Wednesday,Delta Air Lines,ATL,LAX,0
2022,DEC,30,Friday,Delta Air Lines,BWI,ATL,0
2022,OCT,25,Tuesday,Spirit Air Lines,FLL,BWI,0
2022,DEC,30,Friday,Southwest Airlines,LAS,PDX,0
2022,AUG,29,Monday,Southwest Airlines,ATL,BWI,0
2023,JUL,28,Friday,Envoy Air,DFW,HSV,0
2023,JUN,10,Saturday,Southwest Airlines,PHX,SMF,0
2023,AUG,12,Saturday,Southwest Airlines,LAS,DEN,1
2022,AUG,15,Monday,Delta Air Lines,SLC,CVG,1
2023,APR,26,Wednesday,JetBlue Airways,ORH,JFK,0
2022,NOV,25,Friday,Spirit Air Lines,TPA,PIT,0
2022,DEC,6,Tuesday,Endeavor Air,BQK,ATL,0
2023,APR,16,Sunday,Alaska Airlines,LIH,SEA,0
2023,APR,11,Tuesday,Spirit Air Lines,DFW,LAS,0
2023,JUN,5,Monday,Delta Air Lines,BOS,SJU,0
2022,NOV,2,Wednesday,Mesa Airlines,IAH,MCI,0
2023,MAR,11,Saturday,Southwest Airlines,BNA,CLE,0
2023,AUG,20,Sunday,United Air Lines,EWR,CLE,0
2023,JUL,30,Sunday,Southwest Airlines,PHX,DEN,0
2023,MAY,14,Sunday,Southwest Airlines,MDW,OMA,0
2022,AUG,16,Tuesday,Southwest Airlines,HRL,HOU,0
2023,APR,16,Sunday,Delta Air Lines,DTW,STL,0
2023,JUN,8,Thursday,Endeavor Air,LGA,DSM,1
2023,JUL,12,Wednesday,JetBlue Airways,JFK,MCO,0
2022,AUG,17,Wednesday,American Airlines,MIA,SFO,0
2022,NOV,23,Wednesday,JetBlue Airways,DTW,BOS,0
2022,AUG,29,Monday,Alaska Airlines,SEA,LIH,0
2022,SEP,23,Friday,SkyWest Airlines,GTF,SLC,0
2022,AUG,26,Friday,SkyWest Airlines,DTW,PIT,0
2022,NOV,6,Sunday,JetBlue Airways,BOS,SJU,1
2022,SEP,18,Sunday,Southwest Airlines,LAS,SJC,1
2023,AUG,7,Monday,Spirit Air Lines,AUS,SMF,1
2022,DEC,18,Sunday,Alaska Airlines,SEA,BOI,0
2023,AUG,6,Sunday,Southwest Airlines,MDW,ALB,0
2022,SEP,13,Tuesday,Southwest Airlines,DEN,SEA,0
2022,AUG,29,Monday,United Air Lines,EUG,SFO,0
2023,APR,8,Saturday,JetBlue Airways,LAX,PBI,0
2022,NOV,2,Wednesday,Mesa Airlines,DFW,MAF,0
2023,JUL,3,Monday,Spirit Air Lines,AUS,LAX,1
2023,JUL,16,Sunday,Southwest Airlines,BNA,RSW,1
2022,DEC,1,Thursday,Southwest Airlines,ABQ,HOU,0
2022,OCT,27,Thursday,United Air Lines,DEN,IAD,0
2023,FEB,28,Tuesday,SkyWest Airlines,FWA,ORD,1
2023,FEB,27,Monday,American Airlines,CLT,MCO,0
2023,MAR,12,Sunday,SkyWest Airlines,MOT,MSP,1
2023,JAN,3,Tuesday,JetBlue Airways,DCA,BOS,0
2023,JUN,30,Friday,Delta Air Lines,IAH,ATL,0
2022,DEC,17,Saturday,Alaska Airlines,SEA,STS,0
2023,FEB,27,Monday,Southwest Airlines,DEN,MCO,1
2022,OCT,21,Friday,American Airlines,DFW,CVG,0
2023,AUG,12,Saturday,Delta Air Lines,LAX,RDU,0
2022,AUG,4,Thursday,Delta Air Lines,ATL,SDF,0
2022,SEP,1,Thursday,United Air Lines,IAH,LAX,1
2023,FEB,5,Sunday,SkyWest Airlines,FAR,MSP,0
2023,JUN,14,Wednesday,Frontier Airlines,DEN,DCA,0
2023,AUG,11,Friday,Alaska Airlines,PDX,SNA,0
2023,APR,3,Monday,Alaska Airlines,LAX,SEA,0
2023,MAR,16,Thursday,Republic Airline,BDL,LGA,0
2022,OCT,28,Friday,Southwest Airlines,ATL,SRQ,0
2023,MAR,16,Thursday,Delta Air Lines,ATL,LIT,0
2022,DEC,8,Thursday,Envoy Air,SAV,MIA,0
2022,OCT,23,Sunday,Delta Air Lines,ATL,GRR,0
2023,JUL,8,Saturday,Delta Air Lines,CLE,ATL,0
2023,MAR,30,Thursday,SkyWest Airlines,DEN,SUN,1
2023,FEB,5,Sunday,SkyWest Airlines,MKE,MSP,0
2023,MAR,8,Wednesday,United Air Lines,ORD,IAH,0
2022,DEC,12,Monday,Alaska Airlines,PHX,SEA,1
2023,JUN,30,Friday,Delta Air Lines,BOS,MIA,0
2023,JUN,16,Friday,Alaska Airlines,SFO,BOS,0
2022,NOV,18,Friday,American Airlines,ICT,DFW,0
2022,SEP,1,Thursday,Hawaiian Airlines,OGG,HNL,0
2023,MAY,27,Saturday,American Airlines,MSP,CLT,0
2023,MAY,10,Wednesday,United Air Lines,EWR,PHX,1
2023,MAR,7,Tuesday,SkyWest Airlines,DEN,FSD,0
2022,AUG,3,Wednesday,Southwest Airlines,AUS,SLC,1
2022,AUG,5,Friday,Southwest Airlines,MIA,BWI,0
2022,OCT,5,Wednesday,SkyWest Airlines,DCA,ORD,0
2022,AUG,26,Friday,United Air Lines,DEN,MKE,1
2023,JAN,23,Monday,JetBlue Airways,BOS,LGA,1
2023,JAN,6,Friday,SkyWest Airlines,OAK,LAX,0
2023,APR,9,Sunday,Southwest Airlines,MDW,DTW,0
2022,NOV,6,Sunday,Delta Air Lines,SLC,SFO,0
2023,FEB,16,Thursday,Delta Air Lines,ORD,DTW,1
2023,AUG,4,Friday,Alaska Airlines,PDX,BOS,1
2022,NOV,19,Saturday,SkyWest Airlines,PDX,SEA,1
2022,DEC,10,Saturday,JetBlue Airways,FLL,HPN,0
2023,JUN,19,Monday,Spirit Air Lines,LAS,MCI,0
2023,MAY,17,Wednesday,Frontier Airlines,TPA,ATL,0
2022,DEC,16,Friday,United Air Lines,IAD,ORD,1
2023,JAN,5,Thursday,Delta Air Lines,MEM,ATL,0
2023,JUL,13,Thursday,American Airlines,BOS,ORD,0
2023,AUG,30,Wednesday,SkyWest Airlines,LAX,BOI,0
2023,MAR,31,Friday,United Air Lines,ORD,MCO,1
2022,AUG,3,Wednesday,Southwest Airlines,PHX,SEA,1
2023,JUN,6,Tuesday,Delta Air Lines,MCO,LGA,0
2022,SEP,27,Tuesday,American Airlines,ORD,SNA,0
2022,DEC,2,Friday,Southwest Airlines,SAN,SFO,0
2023,AUG,6,Sunday,Alaska Airlines,DEN,SEA,1
2023,JUN,28,Wednesday,Delta Air Lines,ATL,JFK,0
2023,MAR,31,Friday,American Airlines,ORD,MIA,1
2022,AUG,5,Friday,Southwest Airlines,PHX,LGB,0
2023,FEB,7,Tuesday,Southwest Airlines,TUL,DEN,0
2023,APR,15,Saturday,Delta Air Lines,PDX,LAX,1
2023,JUN,13,Tuesday,Republic Airline,DCA,IND,0
2023,JAN,12,Thursday,Delta Air Lines,MSP,BDL,0
2023,APR,14,Friday,Envoy Air,PNS,MIA,1
2023,JUN,15,Thursday,Southwest Airlines,SNA,LAS,1
2023,JAN,9,Monday,American Airlines,PHX,DFW,0
2023,JUN,11,Sunday,Spirit Air Lines,RNO,LAS,0
2022,DEC,12,Monday,Southwest Airlines,MCI,LAS,0
2023,APR,13,Thursday,Delta Air Lines,SLC,SFO,0
2023,APR,18,Tuesday,American Airlines,BUR,DFW,0
2023,JUL,31,Monday,Envoy Air,IND,MIA,0
2023,APR,2,Sunday,Southwest Airlines,BHM,TPA,0
2023,MAR,28,Tuesday,American Airlines,RSW,CLT,0
2023,FEB,27,Monday,American Airlines,BWI,DFW,0
2023,MAY,9,Tuesday,American Airlines,IAD,CLT,0
2022,SEP,9,Friday,Southwest Airlines,DTW,BNA,0
2022,OCT,28,Friday,Southwest Airlines,SJC,DEN,1
2022,SEP,26,Monday,Delta Air Lines,SLC,ATL,0
2023,JAN,28,Saturday,JetBlue Airways,DEN,JFK,0
2022,SEP,30,Friday,Mesa Airlines,MCI,IAD,0
2022,AUG,2,Tuesday,SkyWest Airlines,SLC,FCA,0
2023,MAY,8,Monday,Allegiant Air,TUL,LAS,0
2023,JAN,20,Friday,Republic Airline,PIT,DCA,0
2023,FEB,11,Saturday,Southwest Airlines,BOS,BWI,0
2023,APR,11,Tuesday,JetBlue Airways,SJU,JFK,0
2022,SEP,18,Sunday,American Airlines,ATL,MIA,0
2022,SEP,12,Monday,Alaska Airlines,SFO,SEA,0
2023,AUG,26,Saturday,Frontier Airlines,MCO,SYR,0
2022,DEC,14,Wednesday,United Air Lines,ORD,PHX,0
2023,JAN,29,Sunday,Southwest Airlines,BUR,SFO,1
2022,AUG,12,Friday,Republic Airline,BOS,DCA,0
2023,JUN,6,Tuesday,Delta Air Lines,ATL,OKC,0
2023,FEB,14,Tuesday,Spirit Air Lines,FLL,PHX,0
2023,MAY,9,Tuesday,Southwest Airlines,ELP,DEN,1
2023,JAN,29,Sunday,Southwest Airlines,LGA,STL,0
2023,JUL,29,Saturday,Endeavor Air,TYS,ATL,0
2023,JUL,26,Wednesday,Delta Air Lines,JFK,DTW,0
2023,MAR,6,Monday,Delta Air Lines,ATL,SJC,0
2023,JUN,11,Sunday,Hawaiian Airlines,HNL,KOA,0
2023,MAR,14,Tuesday,Frontier Airlines,PHL,JAX,0
2023,AUG,30,Wednesday,American Airlines,PHX,DFW,0
2023,APR,28,Friday,Southwest Airlines,ALB,BWI,0
2022,DEC,2,Friday,Republic Airline,DCA,RDU,0
2022,SEP,5,Monday,JetBlue Airways,PHL,BOS,1
2022,DEC,16,Friday,PSA Airlines,CAE,DCA,1
2023,AUG,2,Wednesday,American Airlines,PHL,SAN,1
2022,DEC,3,Saturday,Delta Air Lines,MSY,ATL,0
2023,JUL,21,Friday,SkyWest Airlines,SDF,MSP,0
2023,JUL,22,Saturday,Southwest Airlines,MDW,FLL,0
2022,DEC,29,Thursday,JetBlue Airways,BOS,IAH,0
2023,JUN,6,Tuesday,Delta Air Lines,DTW,ATL,0
2022,DEC,11,Sunday,United Air Lines,DEN,LAS,1
2023,AUG,27,Sunday,United Air Lines,SFO,EWR,0
2023,JAN,3,Tuesday,Hawaiian Airlines,OGG,HNL,0
2022,OCT,2,Sunday,American Airlines,LAX,PHL,1
2022,SEP,12,Monday,Southwest Airlines,MCI,DAL,1
2023,JUL,6,Thursday,Delta Air Lines,MSP,SEA,0
2023,MAR,15,Wednesday,Southwest Airlines,SMF,DEN,0
2023,JUN,11,Sunday,Southwest Airlines,SYR,BWI,0
2023,JUN,8,Thursday,SkyWest Airlines,SEA,PSC,0
2023,FEB,15,Wednesday,United Air Lines,LAS,DEN,1
2023,JAN,1,Sunday,Southwest Airlines,BNA,RDU,0
2023,JAN,16,Monday,Delta Air Lines,MIA,LAX,1
2022,AUG,31,Wednesday,Southwest Airlines,TPA,LGA,0
2023,MAR,19,Sunday,United Air Lines,IAD,TPA,0
2022,AUG,3,Wednesday,Southwest Airlines,DEN,SAN,1
2023,MAY,11,Thursday,Southwest Airlines,MDW,RIC,0
2023,JUN,22,Thursday,Southwest Airlines,HNL,KOA,0
2023,JUL,27,Thursday,Spirit Air Lines,LAS,MSP,0
2023,JAN,9,Monday,SkyWest Airlines,SWO,DFW,0
2023,JUN,27,Tuesday,SkyWest Airlines,MKE,JFK,0
2022,NOV,21,Monday,Alaska Airlines,LAS,SEA,0
2022,AUG,31,Wednesday,Southwest Airlines,ELP,PHX,0
2023,AUG,9,Wednesday,American Airlines,MEM,CLT,0
2023,MAR,23,Thursday,Southwest Airlines,MSY,TPA,0
2023,FEB,22,Wednesday,United Air Lines,BOS,DEN,0
2023,AUG,18,Friday,Alaska Airlines,MSY,SEA,0
2022,DEC,26,Monday,Horizon Air,BOI,GEG,0
2023,MAY,1,Monday,American Airlines,DFW,AVL,1
2023,AUG,5,Saturday,Republic Airline,MDT,ORD,0
2023,APR,1,Saturday,American Airlines,LGA,MIA,0
2022,NOV,27,Sunday,United Air Lines,EWR,DEN,0
2022,NOV,14,Monday,United Air Lines,IAD,SEA,0
2022,AUG,27,Saturday,American Airlines,ORD,LGA,0
2023,MAY,29,Monday,SkyWest Airlines,PIT,MSP,0
2022,NOV,28,Monday,JetBlue Airways,EWR,MCO,0
2023,MAR,25,Saturday,Delta Air Lines,SLC,GEG,1
2023,JUL,20,Thursday,Delta Air Lines,MIA,MSP,1
2022,DEC,22,Thursday,JetBlue Airways,BOS,AUS,0
2023,JAN,19,Thursday,Southwest Airlines,BNA,CLT,0
2022,SEP,9,Friday,Republic Airline,EWR,BOS,0
2023,FEB,2,Thursday,Delta Air Lines,SLC,DEN,0
2023,MAR,6,Monday,Southwest Airlines,MCO,BNA,0
2023,JUN,18,Sunday,PSA Airlines,CLT,PNS,0
2023,FEB,24,Friday,United Air Lines,BIL,DEN,0
2023,MAY,22,Monday,SkyWest Airlines,BOS,ORD,0
2023,AUG,3,Thursday,Southwest Airlines,LAS,IND,1
2022,SEP,23,Friday,American Airlines,DFW,RNO,0
2023,JUL,25,Tuesday,Delta Air Lines,JAN,ATL,0
2023,JUL,5,Wednesday,Envoy Air,COU,DFW,0
2023,MAR,29,Wednesday,United Air Lines,IAD,RSW,0
2023,MAY,9,Tuesday,Southwest Airlines,CMH,BWI,0
2022,NOV,13,Sunday,Envoy Air,SYR,ORD,0
2022,SEP,7,Wednesday,United Air Lines,MCO,IAH,1
2023,MAR,21,Tuesday,Republic Airline,DCA,JFK,0
2022,OCT,11,Tuesday,Southwest Airlines,DAL,MDW,0
2022,SEP,13,Tuesday,PSA Airlines,CLT,CID,0
2022,AUG,17,Wednesday,American Airlines,JAX,ORD,1
2022,SEP,11,Sunday,Alaska Airlines,PDX,SEA,0
2023,JAN,6,Friday,Southwest Airlines,BWI,MDW,0
2023,AUG,5,Saturday,Southwest Airlines,DEN,MIA,1
2023,AUG,20,Sunday,SkyWest Airlines,ORD,ASE,1
2023,MAY,21,Sunday,Southwest Airlines,PHX,PDX,1
2023,MAR,8,Wednesday,SkyWest Airlines,ORD,FWA,0
2023,FEB,14,Tuesday,Delta Air Lines,MIA,LGA,0
2023,AUG,23,Wednesday,Republic Airline,LGA,ORF,0
2022,SEP,23,Friday,SkyWest Airlines,IMT,RHI,0
2022,SEP,5,Monday,Hawaiian Airlines,HNL,KOA,0
2023,APR,18,Tuesday,SkyWest Airlines,SLC,ONT,1
2023,MAR,2,Thursday,Delta Air Lines,PDX,MSP,0
2022,OCT,3,Monday,SkyWest Airlines,DEN,HSV,0
2022,DEC,19,Monday,United Air Lines,ORD,LAS,1
2023,JUN,11,Sunday,Delta Air Lines,ORD,ATL,1
2023,APR,7,Friday,American Airlines,DCA,MSY,0
2022,DEC,20,Tuesday,American Airlines,SNA,DFW,0
2023,MAR,7,Tuesday,SkyWest Airlines,SFO,RDD,0
2022,SEP,12,Monday,SkyWest Airlines,PSP,SLC,0
2022,DEC,30,Friday,Southwest Airlines,DEN,BZN,0
2023,AUG,27,Sunday,Hawaiian Airlines,OGG,HNL,0
2022,SEP,21,Wednesday,Delta Air Lines,ATL,DTW,1
2023,APR,7,Friday,Delta Air Lines,ICT,ATL,0
2023,JAN,16,Monday,Southwest Airlines,PHX,DEN,1
2023,JUL,2,Sunday,Hawaiian Airlines,LAX,KOA,0
2023,JUL,3,Monday,Southwest Airlines,DAL,LAS,0
2023,JAN,19,Thursday,Southwest Airlines,LAS,SAN,0
2023,MAR,29,Wednesday,Delta Air Lines,ATL,AUS,0
2023,FEB,3,Friday,PSA Airlines,DCA,ORF,0
2022,SEP,24,Saturday,Delta Air Lines,MCO,BOS,0
2022,AUG,6,Saturday,Southwest Airlines,MDW,PIT,1
2022,SEP,1,Thursday,Republic Airline,LGA,DCA,0
2023,JUL,15,Saturday,Southwest Airlines,BNA,CLE,1
2022,SEP,23,Friday,Southwest Airlines,DCA,DAL,0
2023,JAN,10,Tuesday,Southwest Airlines,TPA,STL,0
2023,MAY,4,Thursday,Envoy Air,MHK,ORD,0
2023,APR,18,Tuesday,Delta Air Lines,SEA,SAN,0
2023,AUG,4,Friday,JetBlue Airways,EWR,PBI,1
2023,FEB,18,Saturday,Delta Air Lines,FLL,ATL,1
2022,DEC,1,Thursday,Southwest Airlines,LIH,HNL,0
2023,JUN,19,Monday,SkyWest Airlines,IDA,DFW,0
2022,AUG,19,Friday,Mesa Airlines,BNA,IAH,0
2023,FEB,23,Thursday,Southwest Airlines,DEN,AUS,1
2023,AUG,26,Saturday,SkyWest Airlines,HIB,MSP,0
2023,AUG,7,Monday,JetBlue Airways,SAN,JFK,1
2022,SEP,6,Tuesday,American Airlines,BNA,DCA,0
2023,MAR,23,Thursday,Republic Airline,IAD,BDL,0
2022,OCT,14,Friday,Southwest Airlines,MSY,FLL,0
2023,FEB,3,Friday,Spirit Air Lines,PHX,LAS,0
2023,MAY,16,Tuesday,SkyWest Airlines,MTJ,DEN,0
2022,DEC,14,Wednesday,Delta Air Lines,MEM,ATL,0
2023,JAN,24,Tuesday,American Airlines,SAV,CLT,0
2023,APR,6,Thursday,Southwest Airlines,MIA,HOU,0
2022,AUG,13,Saturday,Delta Air Lines,SEA,SAN,0
2022,NOV,28,Monday,American Airlines,LGA,MIA,0
2023,MAR,23,Thursday,Southwest Airlines,MCO,STL,0
2023,APR,28,Friday,United Air Lines,BOS,SFO,1
2023,JAN,6,Friday,SkyWest Airlines,PDX,OAK,0
2023,JAN,24,Tuesday,Delta Air Lines,RDU,ATL,0
2023,JUN,23,Friday,PSA Airlines,CLT,GPT,0
2023,APR,8,Saturday,Alaska Airlines,SEA,MKE,0
2023,FEB,12,Sunday,SkyWest Airlines,ERI,ORD,0
2022,OCT,21,Friday,American Airlines,PHL,LAX,0
2023,JUN,15,Thursday,Delta Air Lines,VPS,ATL,1
2023,MAR,28,Tuesday,Republic Airline,LGA,BOS,0
2023,FEB,16,Thursday,Allegiant Air,ALB,PGD,0
2023,MAY,13,Saturday,American Airlines,PHX,LAS,0
2023,MAR,18,Saturday,Delta Air Lines,DTW,BOS,0
2022,OCT,7,Friday,United Air Lines,LAX,OGG,0
2023,FEB,11,Saturday,SkyWest Airlines,ORD,AVL,0
2023,APR,19,Wednesday,Envoy Air,DFW,MLI,0
2022,OCT,25,Tuesday,United Air Lines,FSD,ORD,0
2023,JAN,27,Friday,Frontier Airlines,PHL,SJU,0
2023,JUL,26,Wednesday,Southwest Airlines,PDX,SJC,1
2023,MAY,16,Tuesday,Delta Air Lines,JAX,ATL,0
