YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,DEST,DEP_DEL15
2023,APR,17,Monday,Southwest Airlines,DAL,LBB,1
2022,NOV,6,Sunday,American Airlines,TPA,PHL,0
2023,JAN,1,Sunday,American Airlines,DFW,EWR,0
2023,JAN,16,Monday,Southwest Airlines,PDX,LAS,0
2023,JAN,5,Thursday,American Airlines,MSP,CLT,0
2022,AUG,3,Wednesday,American Airlines,DCA,LAS,0
2023,MAY,29,Monday,Delta Air Lines,MLB,ATL,0
2022,AUG,16,Tuesday,PSA Airlines,AVL,CLT,0
2023,AUG,19,Saturday,Alaska Airlines,SEA,JNU,1
2022,SEP,1,Thursday,Endeavor Air,DTW,TYS,0
2022,SEP,25,Sunday,United Air Lines,IAH,DEN,0
2023,APR,17,Monday,United Air Lines,SNA,ORD,0
2023,MAR,21,Tuesday,Southwest Airlines,ECP,BNA,0
2023,JUN,2,Friday,SkyWest Airlines,SLC,MFR,0
2023,JUL,14,Friday,Endeavor Air,STL,LGA,1
2023,MAR,15,Wednesday,American Airlines,DFW,ONT,0
2022,DEC,16,Friday,American Airlines,DEN,AUS,0
2023,FEB,5,Sunday,Southwest Airlines,PHX,LAX,0
2023,MAY,21,Sunday,Delta Air Lines,MSP,RSW,0
2023,JUL,9,Sunday,Endeavor Air,ATL,MOB,0
2023,JUN,30,Friday,SkyWest Airlines,LNK,ORD,1
2023,JAN,4,Wednesday,Delta Air Lines,GRB,ATL,1
2023,MAY,28,Sunday,American Airlines,EWR,DFW,0
2023,MAR,22,Wednesday,American Airlines,LAX,CLT,1
2022,SEP,15,Thursday,American Airlines,SAT,DFW,0
2023,JAN,4,Wednesday,Alaska Airlines,GEG,SAN,0
2023,MAR,8,Wednesday,Delta Air Lines,ATL,IAD,0
2022,NOV,26,Saturday,Southwest Airlines,MCI,BWI,0
2022,AUG,5,Friday,United Air Lines,ORD,LAX,0
2022,AUG,11,Thursday,Southwest Airlines,ATL,JAN,0
2023,JAN,5,Thursday,Delta Air Lines,ATL,LAX,0
2023,AUG,13,Sunday,Republic Airline,DTW,EWR,1
2022,OCT,13,Thursday,Delta Air Lines,ATL,MSY,0
2023,APR,11,Tuesday,Southwest Airlines,BWI,SAT,1
2023,APR,21,Friday,Endeavor Air,DSM,MSP,0
2023,JUL,3,Monday,American Airlines,PHX,LAX,0
2022,OCT,18,Tuesday,Alaska Airlines,KTN,SEA,0
2023,MAR,24,Friday,JetBlue Airways,ORD,JFK,0
2022,AUG,31,Wednesday,Southwest Airlines,VPS,DAL,0
2023,MAY,14,Sunday,Republic Airline,BOS,LGA,1
2022,OCT,19,Wednesday,Southwest Airlines,DEN,SAN,0
2022,OCT,27,Thursday,Southwest Airlines,BWI,SDF,0
2022,SEP,7,Wednesday,Endeavor Air,ORD,JFK,0
2023,JUN,28,Wednesday,American Airlines,PHL,RDU,0
2022,DEC,16,Friday,Southwest Airlines,SEA,LAS,0
2022,NOV,24,Thursday,Spirit Air Lines,BWI,ATL,0
2023,APR,6,Thursday,Southwest Airlines,GEG,SMF,0
2023,JUL,2,Sunday,JetBlue Airways,MCO,JFK,0
2022,DEC,29,Thursday,American Airlines,DFW,PHL,0
