YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,DEP_DEL15,ARR_DEL15
2023,MAR,5,Sunday,PSA Airlines,CLT,"Charlotte, NC",BNA,"Nashville, TN",0,0
2023,JUL,19,Wednesday,Southwest Airlines,HOU,"Houston, TX",JAN,"Jackson/Vicksburg, MS",0,0
2023,MAY,1,Monday,Frontier Airlines,BQN,"Aguadilla, PR",MCO,"Orlando, FL",0,0
2022,DEC,23,Friday,American Airlines,ORD,"Chicago, IL",PHX,"Phoenix, AZ",1,1
2023,JAN,20,Friday,Allegiant Air,PIE,"St. Petersburg, FL",GRR,"Grand Rapids, MI",0,0
2023,JUN,30,Friday,Republic Airline,LGA,"New York, NY",HHH,"Hilton Head, SC",0,0
2023,MAR,5,Sunday,Alaska Airlines,PHX,"Phoenix, AZ",SEA,"Seattle, WA",1,1
2022,AUG,8,Monday,Republic Airline,ATL,"Atlanta, GA",LEX,"Lexington, KY",0,0
2022,NOV,12,Saturday,SkyWest Airlines,GEG,"Spokane, WA",SEA,"Seattle, WA",0,0
2023,FEB,24,Friday,Southwest Airlines,LAS,"Las Vegas, NV",SNA,"Santa Ana, CA",0,0
2023,MAY,27,Saturday,Delta Air Lines,AUS,"Austin, TX",JFK,"New York, NY",0,0
2023,FEB,5,Sunday,SkyWest Airlines,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",0,0
2022,OCT,29,Saturday,Delta Air Lines,LGA,"New York, NY",MSP,"Minneapolis, MN",0,0
2022,NOV,22,Tuesday,Endeavor Air,LGA,"New York, NY",ALB,"Albany, NY",0,0
2023,AUG,24,Thursday,Delta Air Lines,JAC,"Jackson, WY",ATL,"Atlanta, GA",0,0
2023,APR,19,Wednesday,Allegiant Air,PGD,"Punta Gorda, FL",BNA,"Nashville, TN",0,0
2022,SEP,11,Sunday,American Airlines,CLT,"Charlotte, NC",LGA,"New York, NY",0,0
2023,FEB,27,Monday,American Airlines,IND,"Indianapolis, IN",CLT,"Charlotte, NC",0,0
2022,SEP,26,Monday,Southwest Airlines,DAL,"Dallas, TX",LGB,"Long Beach, CA",0,0
2023,JUL,29,Saturday,SkyWest Airlines,ORD,"Chicago, IL",LGA,"New York, NY",1,1
2023,FEB,10,Friday,Endeavor Air,LGA,"New York, NY",GSP,"Greer, SC",0,0
2023,JAN,9,Monday,SkyWest Airlines,BOI,"Boise, ID",SMF,"Sacramento, CA",0,0
2023,APR,21,Friday,United Air Lines,EWR,"Newark, NJ",FLL,"Fort Lauderdale, FL",0,0
2022,AUG,7,Sunday,Spirit Air Lines,LAS,"Las Vegas, NV",LAX,"Los Angeles, CA",0,0
2023,MAR,23,Thursday,Delta Air Lines,BOI,"Boise, ID",SLC,"Salt Lake City, UT",0,0
2023,AUG,29,Tuesday,Delta Air Lines,ATL,"Atlanta, GA",GPT,"Gulfport/Biloxi, MS",0,1
